id,電話番号,家賃,管理費_共益費,敷金,礼金,保証金,敷引_償却,所在地,駅徒歩,間取り,専有面積,築年数,階,向き,建物種別,間取り詳細,構造,階建,築年月,エネルギー消費性能,断熱性能,目安光熱費,損保,駐車場,入居,取引態様,条件,取り扱い店舗物件コード,SUUMO物件コード,総戸数,情報更新日,次回更新日,契約期間,保証会社,ほか諸費用,備考,create_at
538,0800-1237493,9.6万円,10000円,9.6万円,-,-,-,大阪府大阪市淀川区宮原５,"地下鉄御堂筋線/東三国駅 歩1分
地下鉄御堂筋線/新大阪駅 歩9分
ＪＲ東海道本線/新大阪駅 歩13分",1LDK,31.35m2,築30年,7階,東,マンション,洋10.1 K2.5,鉄骨鉄筋,7階/10階建,1996年3月,-,-,-,1.6万円2年,-,即,仲介,-,HC2-3125069-706-0243,100421393730,92戸,2025/09/02,次回更新日は情報更新日より１５日以内,,保証会社利用必 (初回保証料40％　更新料10 000円/1年),室内清掃費用　33000円,,2025-09-03 08:30:38
539,06-6369-2022,9.6万円,10000円,9.6万円,-,-,-,大阪府大阪市淀川区宮原５,"地下鉄御堂筋線/東三国駅 歩3分
ＪＲ東海道本線/東淀川駅 歩7分
ＪＲおおさか東線/新大阪駅 歩9分",1LDK,31.35m2,築30年,4階,北東,マンション,洋7.1 LDK8.2,鉄骨,4階/10階建,1996年3月,-,-,-,0.82万円1年,近隣80m22000円,即,仲介,-,6760829,100420287734,-,2025/09/02,次回更新日は情報更新日より１５日以内,普通借家 2年,保証会社利用必 要確認,駐輪場　550円／月額　ハウスクリーニング　33000円／退去時,阪急宝塚本線 三国駅徒歩18分/巡回管理/ネットで気なっている物件全て（他業者様物件含む）、ご予約やお問い合わせをされていなくても、当日すぐにご案内が可能です。大阪エリアのお部屋探しはぜひ当社にお任せ下さい！,2025-09-03 09:49:33
540,078-855-9599,9.6万円,10000円,9.6万円,-,-,-,大阪府大阪市淀川区宮原５,"地下鉄御堂筋線/東三国駅 歩1分
ＪＲ東海道本線/東淀川駅 歩7分
ＪＲおおさか東線/新大阪駅 歩13分",1LDK,30.87m2,築30年,7階,西,マンション,洋4 LDK10.1,鉄骨鉄筋,7階/10階建,1996年3月,-,-,-,2万円2年,近隣200m22000円,即,仲介,単身者可,94929,100421399642,-,2025/09/02,次回更新日は情報更新日より１５日以内,普通借家 2年,保証会社利用必 初回保証料：総賃料30～100％（保証人有無で変動有　更新料有）　詳細はスタッフにお尋ねください。,,,2025-09-03 08:29:46
541,072-763-4146,9.6万円,10000円,9.6万円,-,-,-,大阪府大阪市淀川区宮原５,"地下鉄御堂筋線/東三国駅 歩1分
ＪＲ東海道本線/東淀川駅 歩9分
地下鉄御堂筋線/新大阪駅 歩11分",1LDK,30.87m2,築30年,8階,西,マンション,洋4 LDK10.1,鉄骨鉄筋,8階/10階建,1996年3月,-,-,-,-,-,即,仲介,-,14514735,100448424685,92戸,2025/09/03,次回更新日は情報更新日より８日以内,,保証会社利用必 初回保証料：40％、更新料：10000円／1年,,阪急電鉄宝塚線 三国駅徒歩19分/駐輪場／月／台/550円,2025-09-03 08:30:57
542,0800-1237493,9.6万円,10000円,9.6万円,-,-,-,大阪府大阪市淀川区宮原５,"地下鉄御堂筋線/東三国駅 歩1分
地下鉄御堂筋線/新大阪駅 歩9分
ＪＲ東海道本線/新大阪駅 歩13分",1LDK,30.87m2,築30年,3階,西,マンション,洋7 LDK8.2,鉄骨鉄筋,3階/10階建,1996年3月,-,-,-,1.7万円2年,-,即,仲介,-,HC2-3125069-312-0243,100448878450,92戸,2025/09/02,次回更新日は情報更新日より１５日以内,,オリコ利用必 初回40％　月額1％,更新料　賃料1.00ヶ月分,,2025-09-03 08:30:04
543,0800-1237805,9.6万円,10000円,9.6万円,-,-,-,大阪府大阪市淀川区宮原５,"地下鉄御堂筋線/東三国駅 歩1分
地下鉄御堂筋線/新大阪駅 歩9分
ＪＲ東海道本線/新大阪駅 歩13分",1K,30.87m2,築30年,8階,西,マンション,-,鉄骨鉄筋,8階/10階建,1996年3月,-,-,-,1.5万円2年,敷地内33000円,即,仲介,-,HC2-3125069-811-0246,100449779391,92戸,2025/09/03,次回更新日は情報更新日より１５日以内,,保証会社利用必 初回保証料：40％　更新料：10000円/年,室内清掃費用　33000円　駐輪場550円／月,,2025-09-03 08:31:04
544,0800-1237493,9.6万円,10000円,9.6万円,-,-,-,大阪府大阪市淀川区宮原５,"地下鉄御堂筋線/東三国駅 歩1分
地下鉄御堂筋線/新大阪駅 歩9分
ＪＲ東海道本線/新大阪駅 歩13分",1LDK,30.87m2,築30年,3階,西,マンション,洋7 LDK8.2,鉄骨鉄筋,3階/10階建,1996年3月,-,-,-,1.7万円2年,-,即,仲介,-,HC2-3125069-310-0243,100448878425,92戸,2025/09/02,次回更新日は情報更新日より１５日以内,,オリコ利用必 初回40％　月額1％,更新料　賃料1.00ヶ月分,,2025-09-03 08:30:16
545,06-6195-4440,9.8万円,10000円,9.8万円,-,-,-,大阪府大阪市淀川区宮原５,"地下鉄御堂筋線/東三国駅 歩1分
地下鉄御堂筋線/新大阪駅 歩10分
ＪＲ東海道本線/東淀川駅 歩10分",1LDK,30.87m2,築30年,10階,西,マンション,洋4 LDK10.1,鉄骨鉄筋,10階/10階建,1996年3月,-,-,-,要,近隣500m27500円,即,仲介,-,2384421,100455959156,-,2025/09/02,次回更新日は情報更新日より１５日以内,普通借家 2年,保証会社利用必 都度、お問い合わせください。 都度、お問い合わせください。,,巡回管理/当物件ご案内の際、現地でのお待ち合わせ等も可能です。お気軽にお申し付け下さいませ。ＴＥＬ：06-6195-4440,2025-09-03 09:49:36
546,06-6337-4446,9.8万円,10000円,9.8万円,-,-,-,大阪府大阪市淀川区宮原５,"地下鉄御堂筋線/東三国駅 歩1分
ＪＲ東海道本線/東淀川駅 歩8分
地下鉄御堂筋線/新大阪駅 歩10分",1LDK,30.87m2,築30年,10階,西,マンション,洋4 LDK10.1,鉄骨鉄筋,10階/10階建,1996年3月,-,-,-,-,敷地内31500円,即,仲介,-,2730188,100446401409,92戸,2025/09/02,次回更新日は情報更新日より８日以内,,保証会社利用必 イントラスト　　初回保証料40％、更新料10、000円／1年,,東海道・山陽新幹線 新大阪駅徒歩15分/常駐管理/駐輪場代／台:550円,2025-09-03 08:30:31
548,06-6864-3511,9.8万円,10000円,9.8万円,-,-,-,大阪府大阪市淀川区宮原５,"地下鉄御堂筋線/東三国駅 歩3分
ＪＲ東海道本線/東淀川駅 歩11分
ＪＲ東海道本線/新大阪駅 歩13分",1LDK,30.87m2,築30年,8階,西,マンション,-,鉄筋コン,8階/10階建,1996年3月,-,-,-,要,-,即,仲介,-,625411,100454867059,95戸,2025/09/02,次回更新日は情報更新日より８日以内,普通借家 2年,保証会社利用必 初回保証料40％、更新料10000円／1年,室内清掃費用　33000円　駐輪ステッカー代　月額440円,,2025-09-03 08:30:49
551,0120-593232,14.8万円,10200円,-,-,-,-,大阪府大阪市淀川区西宮原１,"地下鉄御堂筋線/新大阪駅 歩9分
ＪＲ東海道本線/新大阪駅 歩10分
地下鉄御堂筋線/西中島南方駅 歩18分",2LDK,40.59m2,新築,5階,東,マンション,洋4 洋4 K2LD10,鉄筋コン,5階/12階建,2025年2月,-,-,-,要,敷地内31900円,即,仲介,-,64877345,100413159181,-,2025/09/02,次回更新日は情報更新日より８日以内,普通借家 2年,,室内清掃費用５５０００円,阪急電鉄宝塚線三国駅徒歩16分/巡回管理/☆ターミナル新大阪駅まで徒歩１０分の立地☆インターネット無料！３口ＩＨシステムカウンターキッチン！宅配ボックスや防犯カメラもあって安心。デザイナーズマンション！設備も最新で充実！,2025-09-03 08:32:09
552,0120-593232,14.8万円,10200円,-,-,-,-,大阪府大阪市淀川区西宮原１,"地下鉄御堂筋線/新大阪駅 歩9分
ＪＲ東海道本線/新大阪駅 歩10分
地下鉄御堂筋線/西中島南方駅 歩18分",2LDK,40.59m2,新築,7階,東,マンション,洋4 洋4 K2LD10,鉄筋コン,7階/12階建,2025年2月,-,-,-,要,敷地内31900円,即,仲介,-,64869962,100412990053,-,2025/09/02,次回更新日は情報更新日より８日以内,普通借家 2年,,室内清掃費用５５０００円,阪急電鉄宝塚線三国駅徒歩16分/巡回管理/☆ターミナル新大阪駅まで徒歩１０分の立地☆インターネット無料！３口ＩＨシステムカウンターキッチン！宅配ボックスや防犯カメラもあって安心。デザイナーズマンション！設備も最新で充実！,2025-09-03 08:33:06
553,06-6306-6027,14.8万円,10200円,-,-,-,-,大阪府大阪市淀川区西宮原１,"地下鉄御堂筋線/新大阪駅 歩9分
ＪＲ東海道本線/新大阪駅 歩9分
ＪＲおおさか東線/新大阪駅 歩9分",2LDK,40.59m2,築1年,7階,東,マンション,洋6 洋6 LDK10,鉄筋コン,7階/12階建,2025年2月,-,-,-,2万円2年,敷地内31900円,即,仲介,二人入居可,1362729,100417251603,166戸,2025/09/02,次回更新日は情報更新日より１５日以内,,保証会社利用必 詳しくはお問い合わせくださいませ,,巡回管理/バイク駐輪3000円（税別）で可能です！,2025-09-03 08:31:27
554,06-6382-0001,14.9万円,10200円,-,-,-,-,大阪府大阪市淀川区西宮原１,"地下鉄御堂筋線/新大阪駅 歩7分
地下鉄御堂筋線/西中島南方駅 歩14分
地下鉄御堂筋線/東三国駅 歩15分",2LDK,40.59m2,新築,9階,東,マンション,洋4 洋4 LDK10,鉄筋コン,9階/12階建,2025年2月,-,-,-,要,近隣100m29700円,即,仲介,二人入居可/子供可,104543197,100416658950,166戸,2025/09/02,次回更新日は情報更新日より８日以内,,保証会社利用必 初回３０％、更新時２５％／年。,,［退去時費用　ハウスクリーニング代：５５，０００円※故意・過失等別途実費］　近隣駐車場有り　保証会社:レジデンシャルサービス,2025-09-03 08:32:25
555,0078-600685615,14.9万円,10200円,-,-,-,-,大阪府大阪市淀川区西宮原１,"地下鉄御堂筋線/新大阪駅 歩9分
阪急宝塚線/三国駅 歩16分
地下鉄御堂筋線/西中島南方駅 歩16分",2LDK,40.59m2,築1年,8階,東,マンション,洋4 洋4,鉄筋コン,8階/12階建,2025年2月,-,-,-,-,敷地内31900円,即,仲介,二人入居可,14211769,100453534550,166戸,2025/09/02,次回更新日は情報更新日より８日以内,,保証会社利用必 レジデンシャル　　初回保証料30％、更新料25％／1年毎,更新事務手数料22000円,大阪市御堂筋線 東三国駅徒歩16分/退去時クリーニング代（税込）/55000円、バイク置場：その他/3300円、駐輪場/110円,2025-09-03 09:50:48
556,06-6925-3434,14.9万円,10200円,-,-,-,-,大阪府大阪市淀川区西宮原１,"ＪＲおおさか東線/新大阪駅 歩10分
阪急宝塚線/三国駅 歩15分
地下鉄御堂筋線/西中島南方駅 歩16分",2LDK,40.59m2,新築,8階,東,マンション,洋4 洋4 LDK10,鉄筋コン,8階/12階建,2025年2月,-,-,-,要,近隣100m28000円,即,仲介,二人入居可/子供可,104168125,100412396770,-,2025/09/02,次回更新日は情報更新日より８日以内,,保証会社利用必 初回保証料３０％　年更新２５％,,［退去時費用　ハウスクリーニング代：５５，０００円※故意・過失等別途実費］同施工シリーズの写真になります。　近隣駐車場有り　保証会社:レジデンシャル,2025-09-03 09:49:54
557,06-6382-0001,14.9万円,10200円,-,-,-,-,大阪府大阪市淀川区西宮原１,"地下鉄御堂筋線/新大阪駅 歩7分
地下鉄御堂筋線/西中島南方駅 歩14分
地下鉄御堂筋線/東三国駅 歩15分",2LDK,40.59m2,新築,9階,東,マンション,洋4 洋4 LDK10,鉄筋コン,9階/12階建,2025年2月,-,-,-,要,近隣100m29700円,即,仲介,二人入居可/子供可,104543207,100416658965,166戸,2025/09/02,次回更新日は情報更新日より８日以内,,保証会社利用必 初回３０％、更新時２５％／年。,,［退去時費用　ハウスクリーニング代：５５，０００円※故意・過失等別途実費］　近隣駐車場有り　保証会社:レジデンシャルサービス,2025-09-03 08:33:31
558,06-6842-2211,14.9万円,10200円,-,-,-,-,大阪府大阪市淀川区西宮原１,"地下鉄御堂筋線/新大阪駅 歩11分
阪急宝塚線/三国駅 歩16分
地下鉄御堂筋線/西中島南方駅 歩17分",2LDK,40.59m2,築1年,9階,東,マンション,洋4 洋4,鉄筋コン,9階/12階建,2025年2月,-,-,-,-,敷地内31900円,即,仲介,二人入居可,14214400,100453242300,166戸,2025/09/02,次回更新日は情報更新日より８日以内,,保証会社利用必 レジデンシャル　　初回保証料30％、更新料25％／1年毎,更新事務手数料22000円,阪急電鉄京都線 南方駅徒歩19分/退去時クリーニング代（税込）/55000円、バイク置場：その他/3300円、駐輪場/110円,2025-09-03 08:32:44
559,0078-600685615,14.9万円,10200円,-,-,-,-,大阪府大阪市淀川区西宮原１,"地下鉄御堂筋線/新大阪駅 歩9分
阪急宝塚線/三国駅 歩16分
地下鉄御堂筋線/西中島南方駅 歩16分",2LDK,40.59m2,築1年,8階,東,マンション,洋4 洋4,鉄筋コン,8階/12階建,2025年2月,-,-,-,-,敷地内31900円,即,仲介,二人入居可,14211773,100453534546,166戸,2025/09/02,次回更新日は情報更新日より８日以内,,保証会社利用必 レジデンシャル　　初回保証料30％、更新料25％／1年毎,更新事務手数料22000円,大阪市御堂筋線 東三国駅徒歩16分/退去時クリーニング代（税込）/55000円、バイク置場：その他/3300円、駐輪場/110円,2025-09-03 08:32:02
560,0120-148126,14.9万円,10200円,-,-,-,-,大阪府大阪市淀川区西宮原１,"地下鉄御堂筋線/新大阪駅 歩9分
地下鉄御堂筋線/西中島南方駅 歩15分
地下鉄御堂筋線/東三国駅 歩15分",2LDK,40.59m2,新築,9階,東,マンション,LDK,鉄筋コン,9階/12階建,2025年2月,-,-,-,要,敷地内34100円/屋内駐,即,仲介,二人入居可,110831840,100453434627,166戸,2025/09/02,次回更新日は情報更新日より８日以内,,保証会社利用必 初回３０％、更新２５％／年,,［退去時費用　クリーニング：５５，０００円※故意・過失等別途実費］　保証会社:レジデンシャルサービス,2025-09-03 08:32:06
561,078-855-9599,14.9万円,10200円,-,-,-,-,大阪府大阪市淀川区西宮原１,"地下鉄御堂筋線/新大阪駅 歩9分
阪急宝塚線/三国駅 歩10分
地下鉄御堂筋線/西中島南方駅 歩20分",2LDK,40.59m2,新築,8階,-,マンション,-,鉄筋コン,8階/12階建,2025年2月,-,-,-,-,敷地内31900円,即,仲介,単身者可/二人入居可,262713,100452988604,-,2025/09/02,次回更新日は情報更新日より１５日以内,普通借家 2年,保証会社利用必 レジデンシャル（収納代行）　内容：初回保証料30％　更新料25％/1年毎,短期違約金：1年未満の解約時1ヶ月(共益費込）,,2025-09-03 09:49:58
562,0800-7770216,15万円,10200円,-,-,-,-,大阪府大阪市淀川区西宮原１,"地下鉄御堂筋線/新大阪駅 歩9分
ＪＲ東海道本線/新大阪駅 歩13分
地下鉄御堂筋線/東三国駅 歩18分",2LDK,40.59m2,新築,8階,東,マンション,洋4 洋4 LDK10.0,鉄筋コン,8階/12階建,2025年2月,-,-,-,2万円2年,敷地内34100円,即,仲介,-,HC5-4602322-0806-0265,100454731800,166戸,2025/09/02,次回更新日は情報更新日より１５日以内,,保証会社利用必 レジデンシャル（収納代行）　内容：初回保証料30％更新料25％/年,,巡回管理/退去時クリーニング代　1K：33 000円（税込）　2LDK：55 000円（税込）,2025-09-03 08:34:21
563,06-6195-4733,15万円,10200円,-,-,-,-,大阪府大阪市淀川区西宮原１,"地下鉄御堂筋線/新大阪駅 歩10分
阪急宝塚線/三国駅 歩11分
地下鉄御堂筋線/江坂駅 歩14分",2LDK,40.59m2,新築,9階,東,マンション,洋4 洋4 LDK10,鉄筋コン,9階/12階建,2025年2月,-,-,-,1.8万円2年,敷地内34100円,即,仲介,二人入居可/子供可,12525541,100456008768,166戸,2025/09/02,次回更新日は情報更新日より８日以内,普通借家 2年,保証会社利用必 初回保証料：総賃料の30％、更新料：25％/年,駐輪場代　330円／月額　バイク置き場代　3300円／月額　ハウスクリーニング　55000円／退去時,Osaka Metro御堂筋線 東三国駅徒歩14分,2025-09-03 08:32:52
564,06-6886-7933,15.1万円,10200円,-,-,-,-,大阪府大阪市淀川区西宮原１,"ＪＲ東海道本線/新大阪駅 歩14分
阪急宝塚線/三国駅 歩14分
地下鉄御堂筋線/西中島南方駅 歩18分",2LDK,40.59m2,新築,8階,東,マンション,洋4 洋4 LDK10.0,鉄筋コン,8階/12階建,2025年2月,-,-,-,1.8万円2年,-,即,仲介,二人入居可,s1050362870,100453175157,-,2025/09/02,次回更新日は情報更新日より８日以内,普通借家 2年,保証会社利用必 初回総賃料30％  審査内容により変動あり,更新料　22000円,退去時クリーニング代 1K：33 000円（税込） 2LDK：55 000円（税込）　※駐車場の空き確認・料金はお問い合わせください,2025-09-03 09:50:03
565,06-6150-2300,15.1万円,10200円,-,-,-,-,大阪府大阪市淀川区西宮原１,"ＪＲ東海道本線/新大阪駅 歩14分
阪急宝塚線/三国駅 歩16分
地下鉄御堂筋線/西中島南方駅 歩17分",2LDK,40.59m2,新築,9階,東,マンション,洋4 洋4 LD10.0,鉄筋コン,9階/12階建,2025年2月,-,-,-,要,-,即,仲介,-,668068,100422997061,-,2025/09/02,次回更新日は情報更新日より８日以内,普通借家 2年,,,,2025-09-03 08:32:59
566,06-6195-4733,15.8万円,10200円,-,-,-,-,大阪府大阪市淀川区西宮原１,"地下鉄御堂筋線/新大阪駅 歩10分
阪急宝塚線/三国駅 歩11分
地下鉄御堂筋線/江坂駅 歩14分",2LDK,40.59m2,新築,10階,東,マンション,洋4 洋4 LDK10,鉄筋コン,10階/12階建,2025年2月,-,-,-,要,敷地内31900円,即,仲介,二人入居可/子供可,11476379,100430043318,166戸,2025/09/02,次回更新日は情報更新日より８日以内,普通借家 2年,保証会社利用必 要確認,駐輪場代　330円／月額　バイク置き場代　3300円／月額　ハウスクリーニング　55000円／退去時,Osaka Metro御堂筋線 東三国駅徒歩14分,2025-09-03 08:33:03
567,0800-1237556,15.8万円,10200円,-,-,-,-,大阪府大阪市淀川区西宮原１,"地下鉄御堂筋線/新大阪駅 歩9分
ＪＲ東海道本線/新大阪駅 歩13分
地下鉄御堂筋線/東三国駅 歩18分",2LDK,40.59m2,新築,10階,東,マンション,洋4 洋4 LDK10.0,鉄筋コン,10階/12階建,2025年2月,-,-,-,2万円2年,敷地内34100円,即,仲介,-,HC5-4602322-1004-0241,100415787863,166戸,2025/09/02,次回更新日は情報更新日より１５日以内,,保証会社利用必 レジデンシャル（収納代行）　内容：初回保証料30％更新料25％/年,,巡回管理/退去時クリーニング代　1K：33 000円（税込）　2LDK：55 000円（税込）,2025-09-03 08:33:11
568,06-6886-7933,15.8万円,10200円,-,-,-,-,大阪府大阪市淀川区西宮原１,"ＪＲ東海道本線/新大阪駅 歩14分
阪急宝塚線/三国駅 歩14分
地下鉄御堂筋線/西中島南方駅 歩18分",2LDK,40.59m2,新築,10階,東,マンション,洋4 洋4 LDK10.0,鉄筋コン,10階/12階建,2025年2月,-,-,-,1.8万円2年,-,即,仲介,二人入居可,s1050362928,100416141117,-,2025/09/02,次回更新日は情報更新日より８日以内,普通借家 2年,保証会社利用必 初回総賃料30％  審査内容により変動あり,更新料　22000円,退去時クリーニング代 1K：33 000円（税込） 2LDK：55 000円（税込）　※駐車場の空き確認・料金はお問い合わせください,2025-09-03 08:33:35
569,0800-1237556,15.9万円,10200円,-,-,-,-,大阪府大阪市淀川区西宮原１,"地下鉄御堂筋線/新大阪駅 歩9分
ＪＲ東海道本線/新大阪駅 歩13分
地下鉄御堂筋線/東三国駅 歩18分",2LDK,40.59m2,新築,11階,東,マンション,洋4 洋4 LDK10.0,鉄筋コン,11階/12階建,2025年2月,-,-,-,2万円2年,敷地内34100円,即,仲介,-,HC5-4602322-1104-0241,100415787830,166戸,2025/09/02,次回更新日は情報更新日より１５日以内,,保証会社利用必 レジデンシャル（収納代行）　内容：初回保証料30％更新料25％/年,,巡回管理/退去時クリーニング代　1K：33 000円（税込）　2LDK：55 000円（税込）,2025-09-03 09:50:06
570,06-6195-4733,15.9万円,10200円,-,-,-,-,大阪府大阪市淀川区西宮原１,"地下鉄御堂筋線/新大阪駅 歩10分
阪急宝塚線/三国駅 歩11分
地下鉄御堂筋線/江坂駅 歩14分",2LDK,40.59m2,新築,11階,東,マンション,洋4 洋4 LDK10,鉄筋コン,11階/12階建,2025年2月,-,-,-,要,敷地内31900円,即,仲介,二人入居可/子供可,11476386,100430043324,166戸,2025/09/02,次回更新日は情報更新日より８日以内,普通借家 2年,保証会社利用必 要確認,駐輪場代　330円／月額　バイク置き場代　3300円／月額　ハウスクリーニング　55000円／退去時,Osaka Metro御堂筋線 東三国駅徒歩14分,2025-09-03 08:33:42
571,0800-1237810,15.9万円,10200円,-,-,-,-,大阪府大阪市淀川区西宮原１,"地下鉄御堂筋線/新大阪駅 歩9分
ＪＲ東海道本線/新大阪駅 歩13分
地下鉄御堂筋線/東三国駅 歩18分",2LDK,40.59m2,新築,11階,東,マンション,洋4 洋4 LDK10.0,鉄筋コン,11階/12階建,2025年2月,-,-,-,2万円2年,敷地内34100円,即,仲介,-,HC5-4602322-1103-0248,100420450457,166戸,2025/09/02,次回更新日は情報更新日より１５日以内,,保証会社利用必 レジデンシャル（収納代行）　内容：初回保証料30％更新料25％/年,,巡回管理/退去時クリーニング代　1K：33 000円（税込）　2LDK：55 000円（税込）,2025-09-03 09:50:11
572,06-6337-7727,16万円,10200円,-,-,-,-,大阪府大阪市淀川区西宮原１,"地下鉄御堂筋線/新大阪駅 歩9分
地下鉄御堂筋線/西中島南方駅 歩14分
阪急宝塚線/三国駅 歩16分",2LDK,40.59m2,新築,12階,東,マンション,洋4 洋4 LD10K2,鉄筋コン,12階/12階建,2025年2月,-,-,-,要,敷地内31900円,即,仲介,二人入居可,104177803,100412713781,166戸,2025/09/02,次回更新日は情報更新日より８日以内,,保証会社利用必 初回総賃料の３０％・更新料２５％／１年毎,,［退去時費用　クリーニング代：５５，０００円※故意・過失等別途実費］１年未満の解約で賃料、共益費の１ヶ月分の短期解約違約金要　保証会社:レジデンシャル,2025-09-03 09:50:14
573,06-6392-4446,16万円,10200円,-,-,-,-,大阪府大阪市淀川区西宮原１,"地下鉄御堂筋線/新大阪駅 歩11分
阪急宝塚線/三国駅 歩16分
地下鉄御堂筋線/西中島南方駅 歩17分",2LDK,40.59m2,築1年,10階,東,マンション,洋4 洋4 LDK10,鉄筋コン,10階/12階建,2025年2月,-,-,-,-,敷地内31900円,即,仲介,二人入居可,14219175,100412960355,166戸,2025/09/02,次回更新日は情報更新日より８日以内,,保証会社利用必 レジデンシャル　　初回保証料30％、更新料25％／1年毎,更新事務手数料22000円,阪急電鉄京都線 南方駅徒歩19分/退去時クリーニング代（税込）/55000円、バイク置場：その他/3300円、駐輪場代/110円,2025-09-03 09:50:23
574,0120-821260,16万円,10200円,-,-,-,-,大阪府大阪市淀川区西宮原１,"東海道新幹線/新大阪駅 歩12分
地下鉄御堂筋線/西中島南方駅 歩16分
阪急宝塚線/三国駅 歩18分",2LDK,40.59m2,新築,12階,-,マンション,-,鉄筋コン,12階/12階建,2025年3月,-,-,-,要,敷地内31900円,即,仲介,-,67356019,100457079235,-,2025/09/02,次回更新日は情報更新日より８日以内,普通借家 2年,,,☆お部屋探しでのお悩みはエイブルネットワーク新大阪北店へ、ご相談くださいませ☆現地での待ち合わせ、主要駅までのお出迎えサービスなどもございます☆初期費用の相見積もりサービスも実施中☆日本最大級を誇るネットワークの情報量で、経験豊富なスタッフが一生懸命お応えいたします☆カフェ風の広々としたスペースでゆっくりお部屋探しができます☆オンラインでの相談や内覧も対応しております☆全てはお客様の為に♪,2025-09-03 09:50:30
575,06-6195-4440,16万円,10200円,-,-,-,-,大阪府大阪市淀川区西宮原１,"地下鉄御堂筋線/新大阪駅 歩9分
ＪＲ東海道本線/新大阪駅 歩10分
阪急宝塚線/三国駅 歩15分",2LDK,40.59m2,新築,12階,東,マンション,洋4 洋4 LDK10.0,鉄筋コン,12階/12階建,2025年2月,-,-,-,要,敷地内31900円,即,仲介,二人入居可/子供可,2356759,100454466110,166戸,2025/09/02,次回更新日は情報更新日より１５日以内,普通借家 2年,保証会社利用必 都度、お問い合わせください。,,巡回管理/当物件ご案内の際、現地でのお待ち合わせ等も可能です。お気軽にお申し付け下さいませ。ＴＥＬ：06-6195-4440,2025-09-03 09:50:33
576,06-6147-2950,6.7万円,5000円,-,-,-,-,大阪府大阪市淀川区木川西１,"阪急神戸線/十三駅 歩10分
地下鉄御堂筋線/西中島南方駅 歩16分
ＪＲ東海道本線/新大阪駅 歩27分",1LDK,39.6m2,築49年,2階,南東,マンション,洋6 LDK10.0,鉄筋コン,2階/5階建,1977年3月,-,-,-,1.6万円2年,-,即,仲介,二人入居可,577615,100444207728,-,2025/09/02,次回更新日は情報更新日より１５日以内,普通借家 2年,保証会社利用必 都度ご確認下さい。,室内清掃費用　33000円　水道代　月額2200円　安心サポート代　月額440円,巡回管理/当物件の周辺にはスーパー・コンビニ・飲食店・公園・病院など多数の生活にかかせない商業施設があり、住環境の整った環境となっております！マンション共用部も清掃など行き届いており、しっかり管理されております。他階にも空室が御座いますので、お気軽にお問い合わせ下さい！,2025-09-03 09:50:40
577,0800-1237819,6.9万円,5000円,-,-,-,-,大阪府大阪市淀川区木川西１,"地下鉄御堂筋線/西中島南方駅 歩16分
阪急京都線/南方駅 歩10分
地下鉄御堂筋線/新大阪駅 歩23分",1LDK,39.6m2,築47年,2階,南,マンション,洋6 LDK10.0,鉄筋コン,2階/5階建,1979年3月,-,-,-,1.6万円2年,近隣200m20000円,相談,仲介,二人入居可,HC2-3111872-0201-0245,100455132130,18戸,2025/09/02,次回更新日は情報更新日より１５日以内,,保証会社利用必 初回保証料：総賃料の50％　更新料：10000円/年,室内清掃費用　33000円　月額：水道代　2200円　安心サポート　440円,,2025-09-03 09:51:31
578,06-6306-6027,7万円,5000円,-,-,-,-,大阪府大阪市淀川区木川西１,"阪急神戸線/十三駅 歩10分
地下鉄御堂筋線/西中島南方駅 歩14分
ＪＲ東海道本線/新大阪駅 歩25分",1LDK,39.96m2,築49年,4階,南,マンション,洋5 LDK13,鉄筋コン,4階/5階建,1977年3月,-,-,-,1.5万円2年,近隣100m20000円,即,仲介,-,2182,100458075377,-,2025/09/02,次回更新日は情報更新日より１５日以内,,保証会社利用可 詳しくはお問合わせ下さいませ。,,巡回管理,2025-09-03 09:50:52
579,0120-632327,7.2万円,5000円,-,-,-,-,大阪府大阪市淀川区木川西１,"阪急神戸線/十三駅 歩9分
地下鉄御堂筋線/西中島南方駅 歩12分
阪急京都線/南方駅 歩13分",1LDK,39.96m2,築47年,4階,南東,マンション,洋5 LDK12.6,鉄筋コン,4階/5階建,1979年3月,-,-,-,1.6万円2年,-,即,仲介,二人入居可,10284232,100455757981,-,2025/09/02,次回更新日は情報更新日より１５日以内,普通借家 1年,保証会社利用必 初回総賃料の50％、更新10，000円/年,安心サポート　440円／月額　引落手数料　330円／月額　水道料　2200円／月額,阪急宝塚本線 十三駅徒歩9分/巡回管理/１年未満の解約は総賃料２ヶ月分１年以上２年未満は違約金総賃料１か月アップ,2025-09-03 09:51:41
580,072-763-4146,5.9万円,3000円,-,11.8万円,-,-,大阪府大阪市淀川区東三国６,"地下鉄御堂筋線/東三国駅 歩11分
ＪＲ東海道本線/東淀川駅 歩19分
阪急宝塚線/三国駅 歩17分",1DK,26m2,築52年,4階,東,マンション,洋6 DK4.50,鉄筋コン,4階/5階建,1974年2月,-,-,-,1.8万円2年,-,即,仲介,-,13989776,100448425801,-,2025/09/02,次回更新日は情報更新日より８日以内,,全保連利用必 初回50％年間13000円,,大阪市御堂筋線 新大阪駅徒歩22分/巡回管理,2025-09-03 09:51:00
